"","max","MAE","nets","n","p","type"
"1",0.0168644698504425,0.00389898772754107,1,100,10,"random"
"2",0.0215017240010817,0.00363486401795276,2,100,10,"random"
"3",0.0225720476347407,0.00354767205224544,4,100,10,"random"
"4",0.0412447527580335,0.010227955546576,1,100,10,"hub"
"5",0.0155611998012467,0.00463241186961445,2,100,10,"hub"
"6",0.00309085532658226,0.00108007608090128,4,100,10,"hub"
"7",0.0247229674503879,0.00487522461549171,1,100,10,"scale-free"
"8",0.0173711718511583,0.00227802505902126,2,100,10,"scale-free"
"9",0.0106563668598212,0.00179103709334797,4,100,10,"scale-free"
"10",0.0275487692355605,0.00403741981367337,1,100,20,"random"
"11",0.0360867696018259,0.0045809860115375,2,100,20,"random"
"12",0.0413693929699135,0.0052867707379825,4,100,20,"random"
"13",0.0331174135793201,0.00433771493908278,1,100,20,"hub"
"14",0.038901758439522,0.00464146030129117,2,100,20,"hub"
"15",0.040427675523635,0.0046918230102859,4,100,20,"hub"
"16",0.0289210944163765,0.0044730499276326,1,100,20,"scale-free"
"17",0.0295408484908912,0.00344210054505788,2,100,20,"scale-free"
"18",0.0392030149558668,0.00413955834809538,4,100,20,"scale-free"
"19",0.048977769465866,0.00519945970422656,1,100,30,"random"
"20",0.0378978574115066,0.00311920577823169,2,100,30,"random"
"21",0.0310405536021706,0.00231949982089996,4,100,30,"random"
"22",0.0719650886480402,0.00703371437149876,1,100,30,"hub"
"23",0.0548750227582346,0.00426757646162806,2,100,30,"hub"
"24",0.0566888495339868,0.00317474956306833,4,100,30,"hub"
"25",0.0420264711103128,0.00465715450152825,1,100,30,"scale-free"
"26",0.0352953225682811,0.00288409503706108,2,100,30,"scale-free"
"27",0.0391586858313993,0.00261201075973145,4,100,30,"scale-free"
"28",0.0224406339586055,0.00291054307679774,1,250,10,"random"
"29",0.00265990228995097,0.000528509356162511,2,250,10,"random"
"30",0.00143687475156217,0.00016895731380218,4,250,10,"random"
"31",0.00583136885369562,0.00144105787845333,1,250,10,"hub"
"32",0.00640124728991601,0.00128449600743465,2,250,10,"hub"
"33",0.00495218839085379,0.000903589541511452,4,250,10,"hub"
"34",0.00211575167730937,0.000432239604861567,1,250,10,"scale-free"
"35",0.00408023350442518,0.000526436850944868,2,250,10,"scale-free"
"36",0.00656371213740137,0.000858088327681776,4,250,10,"scale-free"
"37",0.0218386391961043,0.0021610942710316,1,250,20,"random"
"38",0.0173017951447238,0.00191595416023163,2,250,20,"random"
"39",0.0241324482213019,0.0024088617121287,4,250,20,"random"
"40",0.0121909655680516,0.00106941182920156,1,250,20,"hub"
"41",0.00770544795284123,0.0004978061778607,2,250,20,"hub"
"42",0.00546944524188067,0.000378936245648271,4,250,20,"hub"
"43",0.0152453591859401,0.00161336655442894,1,250,20,"scale-free"
"44",0.00608534225810875,0.000862116543116105,2,250,20,"scale-free"
"45",0.00497598294720281,0.000532954196464253,4,250,20,"scale-free"
"46",0.0384977958075004,0.00354157950023089,1,250,30,"random"
"47",0.0217735457168697,0.00160751073468016,2,250,30,"random"
"48",0.0239757099578614,0.00144441540166352,4,250,30,"random"
"49",0.0294466709341146,0.00214784514991061,1,250,30,"hub"
"50",0.0211899827259964,0.00118553595017489,2,250,30,"hub"
"51",0.0218834858501827,0.00098304894647052,4,250,30,"hub"
"52",0.0416597986422723,0.0030032779412273,1,250,30,"scale-free"
"53",0.0233443198785986,0.00131787129458572,2,250,30,"scale-free"
"54",0.0308666392131028,0.00183663477227576,4,250,30,"scale-free"
"55",0.00561362645512505,0.000702415797527655,1,500,10,"random"
"56",0.00674240113281241,0.000845568429243878,2,500,10,"random"
"57",0.0111876719756046,0.00140891563062612,4,500,10,"random"
"58",0.0102021205354623,0.0013033616009049,1,500,10,"hub"
"59",0.00182006760464729,0.000351688482433329,2,500,10,"hub"
"60",0.0113338403532801,0.00295309365110038,4,500,10,"hub"
"61",0.015270678714005,0.00348656368452863,1,500,10,"scale-free"
"62",0.0179458122633417,0.00281301455965712,2,500,10,"scale-free"
"63",0.0130674405550101,0.00132991050150356,4,500,10,"scale-free"
"64",0.0183647986841148,0.00137721394850552,1,500,20,"random"
"65",0.0189333334165701,0.00103796321584607,2,500,20,"random"
"66",0.0109750493814718,0.000916300745493183,4,500,20,"random"
"67",0.00548476616332749,0.000426996829228805,1,500,20,"hub"
"68",0.00464286081664503,0.000361357415766039,2,500,20,"hub"
"69",0.00997073729173603,0.000709171579148025,4,500,20,"hub"
"70",0.0131104304947997,0.00136228611539445,1,500,20,"scale-free"
"71",0.00476335883769108,0.000552377104056948,2,500,20,"scale-free"
"72",0.00216004582515716,0.000358744651905996,4,500,20,"scale-free"
"73",0.0232024362200197,0.0015119747069791,1,500,30,"random"
"74",0.0139309167973257,0.000605816073050551,2,500,30,"random"
"75",0.0155706253049315,0.000637138709190636,4,500,30,"random"
"76",0.0330499953392567,0.00194002834002626,1,500,30,"hub"
"77",0.0151319125291786,0.000774859083371936,2,500,30,"hub"
"78",0.00872833142432064,0.000301490311045736,4,500,30,"hub"
"79",0.0246605187110287,0.00165240873757762,1,500,30,"scale-free"
"80",0.0213802933808486,0.00107637223526242,2,500,30,"scale-free"
"81",0.0141461339833271,0.000664661603084372,4,500,30,"scale-free"
"82",0.0087241732463208,0.00120999771494572,1,1000,10,"random"
"83",0.00489581987104681,0.00110413132956727,2,1000,10,"random"
"84",0.00929208534899761,0.00148833618694234,4,1000,10,"random"
"85",0.00346452014192483,0.000631468230039671,1,1000,10,"hub"
"86",0.00417551648800345,0.000554153913329827,2,1000,10,"hub"
"87",0.00753362200534863,0.000843232150086687,4,1000,10,"hub"
"88",0.0283809178022357,0.00575887612990531,1,1000,10,"scale-free"
"89",0.00328519485692691,0.000325761118564844,2,1000,10,"scale-free"
"90",0.00121886166402663,0.000114356592943147,4,1000,10,"scale-free"
"91",0.0208129223890141,0.00133895078742594,1,1000,20,"random"
"92",0.0130767897985266,0.00101810438735938,2,1000,20,"random"
"93",0.0109317698478666,0.000805255317537122,4,1000,20,"random"
"94",0.00672475742421719,0.000517377492700614,1,1000,20,"hub"
"95",0.00479410184306289,0.000242546600627624,2,1000,20,"hub"
"96",0.00392687590237695,0.000238496606325338,4,1000,20,"hub"
"97",0.0183273493930654,0.00136811618454987,1,1000,20,"scale-free"
"98",0.00458916690409393,0.000309439315045734,2,1000,20,"scale-free"
"99",0.00414293917828054,0.000157654681790613,4,1000,20,"scale-free"
"100",0.0136495714903155,0.000730432861313113,1,1000,30,"random"
"101",0.0044311181236989,0.000220712150352699,2,1000,30,"random"
"102",0.00599049796571161,0.000301812983936426,4,1000,30,"random"
"103",0.0403804802441477,0.00205440994896701,1,1000,30,"hub"
"104",0.00925340206645991,0.000324295363817874,2,1000,30,"hub"
"105",0.00363504300778147,0.000188881830322833,4,1000,30,"hub"
"106",0.0154440522598692,0.000900907208795555,1,1000,30,"scale-free"
"107",0.00418211329495677,0.00027400518256851,2,1000,30,"scale-free"
"108",0.00405002830765716,0.000252489379660392,4,1000,30,"scale-free"
